COMPETITOR,COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Delivery Fee (MXN),20.38,21.13,17.98,18.9,20.83,18.93,20.72,18.13,19.26
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Service Fee (%),0.1158087495,0.1217816948,0.110790257,0.1202659996,0.1080791793,0.1203304307,0.1218445275,0.1053654587,0.1411903815
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Avg Delivery Time (mins),23.06,25.98,22.72,22.93,23.86,23.91,24.64,28.43,28.51
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Customer Satisfaction Score,4.55,4.27,4.28,4.38,4.52,4.39,4.39,4.41,4.48
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Retail SST > SS CVR,0.8210387532,0.9226275651,0.884487089,0.8275331058,0.9386336224,0.819969426,0.8348067021,0.9194489583,0.9310078513
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Restaurants SST > SS CVR,0.5824930335,0.6834962233,0.6806418607,0.6342354333,0.5325858401,0.5629184177,0.603957707,0.6866292957,0.6356032645
Rappi,MX,Mexico City,Polanco,Wealthy,Prioritized,Orders,106030.42,111022.28,163461.79,146206.33,140787.25,154520.12,157854.14,111650.59,112350.33
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Delivery Fee (MXN),22.04,18.05,19.12,18.18,21.39,20.48,20.37,21.31,19.59
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Service Fee (%),0.1082983494,0.1244025668,0.1007036808,0.1342002939,0.1057288437,0.1372681658,0.1288771648,0.1110049585,0.1156219439
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Avg Delivery Time (mins),25.88,23.15,23.32,22.41,25.06,24.52,25.2,25.91,26.82
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Customer Satisfaction Score,4.33,4.65,4.41,4.56,4.41,4.4,4.59,4.38,4.59
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Retail SST > SS CVR,0.9539542841,0.866485761,0.8505247888,0.8559813242,0.825883934,0.7790303507,0.8958549536,0.877990236,0.8877653159
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Restaurants SST > SS CVR,0.6202385159,0.6835016197,0.6663148154,0.5584384209,0.5798496255,0.7077638794,0.7108492287,0.6852985936,0.6475887518
Rappi,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Orders,115690.76,107953.23,131561.31,167788.62,151674.05,107844.05,135075.74,166730.95,115503.7
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Delivery Fee (MXN),21.01,18.78,22.17,19.46,21.46,18.59,22.03,21.21,19.04
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Service Fee (%),0.1348375116,0.1380222787,0.1204646546,0.1331189079,0.1303517591,0.1342821402,0.1122212254,0.1197028064,0.1189274412
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Avg Delivery Time (mins),23.89,21.36,26.63,22.8,26.01,24.88,22.37,25.52,27.36
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Customer Satisfaction Score,4.42,4.5,4.36,4.39,4.59,4.36,4.3,4.5,4.46
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Retail SST > SS CVR,0.9611811088,0.8910464298,0.8455245676,0.8709994869,0.7775213596,0.7772535074,0.9434438459,0.8430991025,0.8718880742
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Restaurants SST > SS CVR,0.5756113893,0.6249023961,0.6280484741,0.621407968,0.6581892756,0.6396649208,0.5700006033,0.5592632382,0.7151965936
Rappi,MX,Mexico City,Condesa,Wealthy,Prioritized,Orders,126116.76,128425.72,153636.12,167897.39,104047.82,97872.12,108760.61,101251.21,139198.22
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Delivery Fee (MXN),20.79,18.84,21.29,21.58,18.51,21.65,21.77,20.03,20.2
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Service Fee (%),0.1337641884,0.1320208093,0.1066399029,0.1225647039,0.1154789323,0.1121761743,0.1328748991,0.1158178235,0.1386324586
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Avg Delivery Time (mins),25.68,23.43,26.56,27.37,22.54,22.43,25.41,23.37,23.34
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Customer Satisfaction Score,4.41,4.36,4.38,4.44,4.41,4.39,4.63,4.64,4.34
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Retail SST > SS CVR,0.9208545736,0.8917085957,0.8161977882,0.799693058,0.7837922964,0.8273888299,0.9179886949,0.9348728462,0.8677109159
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Restaurants SST > SS CVR,0.615249301,0.5780066854,0.5791370452,0.6712445995,0.5655749641,0.7164324221,0.6698584137,0.635273342,0.6753819638
Rappi,MX,Mexico City,Del Valle,Wealthy,Prioritized,Orders,99126.63,166829.66,129787.02,110822.32,124822.74,125897.13,170791.17,142709.18,124524.81
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Delivery Fee (MXN),20.04,22.34,22.29,20.29,22.53,17.32,20.11,21.18,20.13
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Service Fee (%),0.141645672,0.1332823181,0.1150076341,0.1044927015,0.1364892768,0.1403306524,0.1342489372,0.1319547882,0.1153957298
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Avg Delivery Time (mins),27.96,23.69,25.42,22.99,25.67,25.83,25.43,27.05,21.94
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Customer Satisfaction Score,4.55,4.46,4.26,4.42,4.41,4.54,4.5,4.44,4.64
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Retail SST > SS CVR,0.8501155069,0.8569174223,0.9022372497,0.8619204965,0.8764043439,0.7872899484,0.7963937793,0.8300747465,0.8170678782
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Restaurants SST > SS CVR,0.7006249546,0.6417437366,0.5559360464,0.5659055638,0.5562327543,0.568270495,0.5771354775,0.6476820684,0.5733507336
Rappi,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Orders,128461.08,162678.26,99963.89,154265.65,105905.99,121925.65,134219.87,132810.47,98152.8
